GPU modelis: GeForce GT 210, Dzinēja ātrums (GPU speed): 589 MHz, Barošanas ligzdas: Nav, Operatīvā atmiņa: 1 GB, Atmiņas tehnoloģija: DDR2, Dzesēšana: Standard Cooler, Cena: 45.16
GPU modelis: GeForce GT 730, Dzinēja ātrums (GPU speed): 902 MHz, Barošanas ligzdas: Nav, Operatīvā atmiņa: 2 GB, Atmiņas tehnoloģija: DDR3, Dzesēšana: Passive, Cena: 90.3
GPU modelis: GeForce GT 730, Dzinēja ātrums (GPU speed): 902 MHz, Operatīvā atmiņa: 4 GB, Atmiņas tehnoloģija: DDR3, Dzesēšana: Standard Cooler, Cena: 93.44
GPU modelis: GeForce GT 730, Dzinēja ātrums (GPU speed): 902 MHz, Barošanas ligzdas: Nav, Operatīvā atmiņa: 2 GB, Atmiņas tehnoloģija: GDDR5, Dzesēšana: Passive, Cena: 97.73
GPU modelis: GeForce GT 1030, Dzinēja ātrums (GPU speed): 1227 MHz, Barošanas ligzdas: Nav, Operatīvā atmiņa: 2 GB, Atmiņas tehnoloģija: GDDR5, Dzesēšana: Passive, Cena: 100.16
GPU modelis: GeForce GT 1030, Dzinēja ātrums (GPU speed): 1468 MHz, Barošanas ligzdas: Nav, Operatīvā atmiņa: 2 GB, Atmiņas tehnoloģija: GDDR5, Dzesēšana: Passive, Cena: 100.3
GPU modelis: GeForce GT 1030, Dzinēja ātrums (GPU speed): 1468 MHz, Barošanas ligzdas: Nav, Operatīvā atmiņa: 2 GB, Atmiņas tehnoloģija: GDDR5, Dzesēšana: Standard Cooler, Cena: 100.76
GPU modelis: GeForce GT 1030, Dzinēja ātrums (GPU speed): 1468 MHz, Barošanas ligzdas: Nav, Operatīvā atmiņa: 2 GB, Atmiņas tehnoloģija: GDDR5, Dzesēšana: Standard Cooler, Cena: 104.27
GPU modelis: GeForce GT 1030, Dzinēja ātrums (GPU speed): 1468 MHz, Barošanas ligzdas: Nav, Operatīvā atmiņa: 2 GB, Atmiņas tehnoloģija: GDDR5, Dzesēšana: Standard Cooler, Cena: 104.28
GPU modelis: GeForce GT 1030, Dzinēja ātrums (GPU speed): 1227 MHz, Barošanas ligzdas: Nav, Operatīvā atmiņa: 2 GB, Atmiņas tehnoloģija: GDDR5, Dzesēšana: Standard Cooler, Cena: 104.85
GPU modelis: Radeon RX 550, Dzinēja ātrums (GPU speed): 1100 MHz, Barošanas ligzdas: Nav, Operatīvā atmiņa: 4 GB, Atmiņas tehnoloģija: GDDR5, Dzesēšana: High-End Cooler, Cena: 105.47
GPU modelis: Radeon RX 550, Dzinēja ātrums (GPU speed): 1206 MHz, Barošanas ligzdas: Nav, Operatīvā atmiņa: 4 GB, Atmiņas tehnoloģija: GDDR5, Dzesēšana: Standard Cooler, Cena: 105.62
GPU modelis: GeForce GT 1030, Dzinēja ātrums (GPU speed): 1151 MHz, Barošanas ligzdas: Nav, Operatīvā atmiņa: 2 GB, Atmiņas tehnoloģija: DDR4, Dzesēšana: Standard Cooler, Cena: 106.87
GPU modelis: GeForce GT 1030, Dzinēja ātrums (GPU speed): 1518 MHz, Barošanas ligzdas: Nav, Operatīvā atmiņa: 2 GB, Atmiņas tehnoloģija: GDDR5, Dzesēšana: Standard Cooler, Cena: 106.97
GPU modelis: GeForce GT 1030, Dzinēja ātrums (GPU speed): 1506 MHz, Barošanas ligzdas: Nav, Operatīvā atmiņa: 2 GB, Atmiņas tehnoloģija: GDDR5, Dzesēšana: Standard Cooler, Cena: 113.42
GPU modelis: Intel Arc A310, Dzinēja ātrums (GPU speed): 2000 MHz, Barošanas ligzdas: Nav, Operatīvā atmiņa: 4 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 127.51
GPU modelis: Intel Arc A380, Dzinēja ātrums (GPU speed): 2250 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 6 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 143.71
GPU modelis: Radeon RX 6400, Dzinēja ātrums (GPU speed): 2039 MHz, Barošanas ligzdas: Nav, Operatīvā atmiņa: 4 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 147.78
GPU modelis: Radeon RX 6400, Dzinēja ātrums (GPU speed): 2321 MHz, Barošanas ligzdas: Nav, Operatīvā atmiņa: 4 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 169.04
GPU modelis: GeForce GTX 1650, Dzinēja ātrums (GPU speed): 1485 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 4 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: High-End Cooler, Cena: 169.44
GPU modelis: GeForce GTX 1050 Ti, Dzinēja ātrums (GPU speed): 1291 MHz, Barošanas ligzdas: Nav, Operatīvā atmiņa: 4 GB, Atmiņas tehnoloģija: GDDR5, Dzesēšana: Blower, Cena: 169.63
GPU modelis: Radeon RX 6400, Dzinēja ātrums (GPU speed): 2039 MHz, Barošanas ligzdas: Nav, Operatīvā atmiņa: 4 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 173.75
GPU modelis: GeForce GT 1030, Dzinēja ātrums (GPU speed): 1468 MHz, Barošanas ligzdas: Nav, Operatīvā atmiņa: 2 GB, Atmiņas tehnoloģija: GDDR5, Dzesēšana: Passive, Cena: 178.14
GPU modelis: GeForce GTX 1650, Dzinēja ātrums (GPU speed): 1620 MHz, Barošanas ligzdas: 1x 6-pin, Operatīvā atmiņa: 4 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 182.14
GPU modelis: GeForce GTX 1650, Dzinēja ātrums (GPU speed): 1755 MHz, Barošanas ligzdas: 1x 6-pin, Operatīvā atmiņa: 4 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: High-End Cooler, Cena: 182.27
GPU modelis: Radeon RX 6400, Dzinēja ātrums (GPU speed): 2039 MHz, Barošanas ligzdas: Nav, Operatīvā atmiņa: 4 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 186.29
GPU modelis: GeForce GTX 1650, Dzinēja ātrums (GPU speed): 1590 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 4 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 187.36
GPU modelis: Radeon RX 6500 XT, Dzinēja ātrums (GPU speed): 2650 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 4 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 190.25
GPU modelis: GeForce GTX 1650, Dzinēja ātrums (GPU speed): 1620 MHz, Barošanas ligzdas: 1x 6-pin, Operatīvā atmiņa: 4 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 192.78
GPU modelis: Radeon RX 6400, Dzinēja ātrums (GPU speed): 2039 MHz, Barošanas ligzdas: Nav, Operatīvā atmiņa: 4 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 198.2
GPU modelis: Radeon RX 6400, Dzinēja ātrums (GPU speed): 2039 MHz, Barošanas ligzdas: Nav, Operatīvā atmiņa: 4 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 200.18
GPU modelis: Radeon RX 6500 XT, Dzinēja ātrums (GPU speed): 2610 MHz, Barošanas ligzdas: 1x 6-pin, Operatīvā atmiņa: 4 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 205.47
GPU modelis: GeForce GTX 1650 SUPER, Dzinēja ātrums (GPU speed): 1530 MHz, Barošanas ligzdas: 1x 6-pin, Operatīvā atmiņa: 4 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 215.4
Operatīvā atmiņa: 4 GB, Atmiņas tehnoloģija: GDDR6, Cena: 216.92
GPU modelis: GeForce GTX 1650, Dzinēja ātrums (GPU speed): 1410 MHz, Barošanas ligzdas: Nav, Operatīvā atmiņa: 4 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 222.87
GPU modelis: GeForce GTX 1650, Dzinēja ātrums (GPU speed): 1590 MHz, Barošanas ligzdas: Nav, Operatīvā atmiņa: 4 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: High-End Cooler, Cena: 223.26
GPU modelis: Intel Arc A580, Dzinēja ātrums (GPU speed): 1700 MHz, Barošanas ligzdas: 2x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 228.19
GPU modelis: Radeon RX 6600, Dzinēja ātrums (GPU speed): 2044 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 237.45
GPU modelis: Radeon RX 6500 XT, Dzinēja ātrums (GPU speed): 2685 MHz, Barošanas ligzdas: 1x 6-pin, Operatīvā atmiņa: 4 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 241.5
GPU modelis: Radeon RX 6500 XT, Dzinēja ātrums (GPU speed): 2685 MHz, Barošanas ligzdas: 1x 6-pin, Operatīvā atmiņa: 4 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 246.03
GPU modelis: Radeon RX 6600, Dzinēja ātrums (GPU speed): 2044 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 246.63
GPU modelis: GeForce RTX 3050, Dzinēja ātrums (GPU speed): 1807 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 248.25
GPU modelis: Radeon RX 6600, Dzinēja ātrums (GPU speed): 2044 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 254.68
GPU modelis: GeForce GTX 1660 SUPER, Dzinēja ātrums (GPU speed): 1530 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 6 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 257.32
GPU modelis: GeForce RTX 3050, Dzinēja ātrums (GPU speed): 1792 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: High-End Cooler, Cena: 261.6
GPU modelis: GeForce RTX 3050, Dzinēja ātrums (GPU speed): 1777 MHz, Barošanas ligzdas: 1x 6-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: High-End Cooler, Cena: 262.54
GPU modelis: GeForce RTX 3050, Dzinēja ātrums (GPU speed): 1807 MHz, Barošanas ligzdas: 1x 6-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 267.56
GPU modelis: GeForce RTX 3050, Dzinēja ātrums (GPU speed): 1777 MHz, Barošanas ligzdas: 1x 6-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 270.23
GPU modelis: GeForce RTX 3050, Dzinēja ātrums (GPU speed): 1777 MHz, Barošanas ligzdas: 1x 6-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 272.38
GPU modelis: GeForce RTX 3050, Dzinēja ātrums (GPU speed): 1777 MHz, Barošanas ligzdas: 1x 6-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 272.79
GPU modelis: Radeon RX 6600, Dzinēja ātrums (GPU speed): 2491 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 279.28
GPU modelis: GeForce RTX 3050, Dzinēja ātrums (GPU speed): 1822 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 279.86
GPU modelis: GeForce RTX 3050, Dzinēja ātrums (GPU speed): 1822 MHz, Barošanas ligzdas: 1x 6-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 282.11
GPU modelis: Intel Arc A750, Dzinēja ātrums (GPU speed): 2200 MHz, Barošanas ligzdas: 2x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 289.69
GPU modelis: GeForce RTX 3050, Dzinēja ātrums (GPU speed): 1807 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 302.0
GPU modelis: GeForce RTX 3060, Dzinēja ātrums (GPU speed): 1807 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 311.3
GPU modelis: GeForce RTX 3060, Dzinēja ātrums (GPU speed): 1807 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 312.59
GPU modelis: GeForce RTX 3050, Dzinēja ātrums (GPU speed): 1830 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 313.91
GPU modelis: Radeon RX 7600, Dzinēja ātrums (GPU speed): 2280 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 319.45
GPU modelis: GeForce RTX 3060, Dzinēja ātrums (GPU speed): 1777 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 320.0
GPU modelis: Radeon RX 6600, Dzinēja ātrums (GPU speed): 2044 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 320.77
GPU modelis: Radeon RX 7600, Dzinēja ātrums (GPU speed): 2355 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: High-End Cooler, Cena: 321.07
GPU modelis: Radeon RX 7600, Dzinēja ātrums (GPU speed): 2355 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 321.69
GPU modelis: Intel Arc A750, Dzinēja ātrums (GPU speed): 2200 MHz, Barošanas ligzdas: 2x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: High-End Cooler, Cena: 326.74
GPU modelis: GeForce RTX 3060, Dzinēja ātrums (GPU speed): 1777 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 12 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 328.54
GPU modelis: GeForce RTX 3060, Dzinēja ātrums (GPU speed): 1777 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 12 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 328.94
GPU modelis: GeForce RTX 3060, Dzinēja ātrums (GPU speed): 1777 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 12 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 332.31
GPU modelis: GeForce RTX 3060, Dzinēja ātrums (GPU speed): 1777 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 12 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 332.31
GPU modelis: Radeon RX 7600, Dzinēja ātrums (GPU speed): 2280 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 333.65
GPU modelis: GeForce RTX 4060, Dzinēja ātrums (GPU speed): 2460 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 337.0
GPU modelis: GeForce RTX 3060, Dzinēja ātrums (GPU speed): 1837 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 12 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 337.74
GPU modelis: GeForce RTX 3060, Dzinēja ātrums (GPU speed): 1807 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 12 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 338.03
GPU modelis: GeForce RTX 3060, Dzinēja ātrums (GPU speed): 1792 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 12 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 338.03
GPU modelis: Quadro P1000, Dzinēja ātrums (GPU speed): 1354 MHz, Operatīvā atmiņa: 4 GB, Atmiņas tehnoloģija: GDDR5, Dzesēšana: Standard Cooler, Cena: 340.29
GPU modelis: GeForce RTX 3060, Dzinēja ātrums (GPU speed): 1807 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 12 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 342.29
GPU modelis: GeForce RTX 3050, Dzinēja ātrums (GPU speed): 1792 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 342.58
GPU modelis: GeForce RTX 3060, Dzinēja ātrums (GPU speed): 1777 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 12 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 343.41
GPU modelis: GeForce RTX 4060, Dzinēja ātrums (GPU speed): 2460 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 350.03
GPU modelis: Radeon RX 7600, Dzinēja ātrums (GPU speed): 2250 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 351.26
GPU modelis: GeForce RTX 3060, Dzinēja ātrums (GPU speed): 1837 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 12 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: High-End Cooler, Cena: 354.16
GPU modelis: GeForce RTX 4060, Dzinēja ātrums (GPU speed): 2460 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 355.47
GPU modelis: GeForce RTX 4060, Dzinēja ātrums (GPU speed): 2460 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 358.13
GPU modelis: GeForce RTX 3060, Dzinēja ātrums (GPU speed): 1792 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 12 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 358.41
GPU modelis: GeForce RTX 4060, Dzinēja ātrums (GPU speed): 2460 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 358.82
GPU modelis: Radeon RX 7600, Dzinēja ātrums (GPU speed): 2355 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: High-End Cooler, Cena: 359.12
GPU modelis: Radeon RX 6600, Dzinēja ātrums (GPU speed): 2491 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 359.16
GPU modelis: GeForce RTX 4060, Dzinēja ātrums (GPU speed): 2490 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 359.39
GPU modelis: GeForce RTX 4060, Dzinēja ātrums (GPU speed): 2505 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 361.51
GPU modelis: GeForce RTX 4060, Dzinēja ātrums (GPU speed): 2475 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: High-End Cooler, Cena: 361.92
GPU modelis: GeForce RTX 4060, Dzinēja ātrums (GPU speed): 2490 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 362.09
GPU modelis: Quadro P1000, Dzinēja ātrums (GPU speed): 1354 MHz, Operatīvā atmiņa: 4 GB, Atmiņas tehnoloģija: GDDR5, Dzesēšana: Standard Cooler, Cena: 363.37
GPU modelis: Radeon RX 7600, Dzinēja ātrums (GPU speed): 2250 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 363.74
GPU modelis: GeForce RTX 4060, Dzinēja ātrums (GPU speed): 2475 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 364.4
GPU modelis: GeForce RTX 4060, Dzinēja ātrums (GPU speed): 2505 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 364.7
GPU modelis: GeForce RTX 4060, Dzinēja ātrums (GPU speed): 2475 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 365.56
GPU modelis: GeForce RTX 4060, Dzinēja ātrums (GPU speed): 2460 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 368.41
GPU modelis: GeForce RTX 4060, Dzinēja ātrums (GPU speed): 2475 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 370.28
GPU modelis: GeForce RTX 3060, Dzinēja ātrums (GPU speed): 1777 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 12 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 370.89
GPU modelis: Intel Arc A770, Dzinēja ātrums (GPU speed): 2150 MHz, Barošanas ligzdas: 2x 8-pin, Operatīvā atmiņa: 16 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 373.93
GPU modelis: GeForce RTX 4060, Dzinēja ātrums (GPU speed): 2490 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 376.64
GPU modelis: GeForce RTX 3050, Dzinēja ātrums (GPU speed): 1845 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: High-End Cooler, Cena: 376.87
GPU modelis: Radeon RX 7600, Dzinēja ātrums (GPU speed): 2250 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 379.46
GPU modelis: GeForce RTX 4060, Dzinēja ātrums (GPU speed): 2460 MHz, Barošanas ligzdas: 1x 8-pin, Operatīvā atmiņa: 8 GB, Atmiņas tehnoloģija: GDDR6, Dzesēšana: Standard Cooler, Cena: 379.99
